,FECHA,ESTACION,TIPO_CONTAMINANTE,CANTIDAD_CONTAMINANTE,AQI,longitud,latitud,AQI_CATEGORY
240,2024-01-13,UIZ,CO,0.92625,10.525568181818182,-99.07388,19.360794,GOOD
241,2024-01-14,AJM,CO,0.25175,2.8607954545454546,-99.207744,19.272161,GOOD
242,2024-01-14,BJU,CO,0.6775000000000001,7.698863636363637,-99.159596,19.370464,GOOD
243,2024-01-14,CAM,CO,1.2404166666666667,14.09564393939394,-99.169794,19.468404,GOOD
244,2024-01-14,CCA,CO,0.6,6.8181818181818175,-99.176111,19.326111,GOOD
245,2024-01-14,CUA,CO,0.43416666666666665,4.933712121212121,-99.291705,19.365313,GOOD
246,2024-01-14,FAC,CO,0.74125,8.423295454545455,-99.243524,19.482473,GOOD
247,2024-01-14,HGM,CO,0.7079166666666667,8.044507575757576,-99.152207,19.411617,GOOD
248,2024-01-14,IZT,CO,0.6729166666666666,7.646780303030302,-99.117641,19.384413,GOOD
249,2024-01-14,LPR,CO,0.71875,8.167613636363637,-99.11772,19.534727,GOOD
250,2024-01-14,MER,CO,1.0342261904761905,11.752570346320347,-99.119594,19.42461,GOOD
251,2024-01-14,MGH,CO,0.7554166666666667,8.584280303030303,-99.20266,19.40405,GOOD
252,2024-01-14,MPA,CO,0.21666666666666665,2.462121212121212,-98.990189,19.1769,GOOD
253,2024-01-14,PED,CO,0.43500000000000005,4.9431818181818175,-99.204136,19.325146,GOOD
254,2024-01-14,SAC,CO,0.8195833333333334,9.31344696969697,-99.009381,19.34561,GOOD
255,2024-01-14,SAG,CO,0.7405555555555555,8.41540404040404,-99.030324,19.532968,GOOD
256,2024-01-14,TAH,CO,0.44333333333333336,5.037878787878788,-99.010564,19.246459,GOOD
257,2024-01-14,TLI,CO,0.8537499999999999,9.701704545454545,-99.177173,19.602542,GOOD
258,2024-01-14,UIZ,CO,0.54625,6.207386363636363,-99.07388,19.360794,GOOD
